DBN,School_Name,Grade,Year,Number_Tested,Mean_Scale_Score,Not_Meeting_Pct,Partially_Meeting_Pct,Meeting_Pct
84Q170,PENINSULA PREPARATORY ACADEMY CHARTER SCHOOL,4,2013-01-01,52,311.0,13.5,40.4,46.2
84X389,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER,5,2013-01-01,43,301.0,41.9,32.6,25.6
84M068,KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL,5,2013-01-01,100,301.0,34.0,35.0,31.0
84K536,COMMUNITY ROOTS CHARTER SCHOOL,3,2013-01-01,51,312.0,13.7,39.2,47.1
84M065,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL,All Grades,2013-01-01,109,306.0,18.3,49.5,32.1
84X704,KIPP ACADEMY CHARTER SCHOOL,8,2013-01-01,62,328.0,1.6,41.9,56.5
84M065,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL,6,2013-01-01,109,306.0,18.3,49.5,32.1
84K536,COMMUNITY ROOTS CHARTER SCHOOL,4,2013-01-01,50,324.0,12.0,18.0,70.0
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP C,All Grades,2013-01-01,265,317.0,12.5,37.7,49.8
84X389,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER,All Grades,2013-01-01,130,304.0,26.9,40.0,33.1
84Q705,RENAISSANCE CHARTER SCHOOL,All Grades,2013-01-01,264,309.0,24.6,37.5,37.9
84K536,COMMUNITY ROOTS CHARTER SCHOOL,5,2013-01-01,50,306.0,40.0,18.0,42.0
84X394,MOTT HAVEN ACADEMY CHARTER SCHOOL,4,2013-01-01,44,295.0,31.8,40.9,27.3
84X394,MOTT HAVEN ACADEMY CHARTER SCHOOL,5,2013-01-01,35,282.0,71.4,14.3,14.3
84Q321,GROWING UP GREEN CHARTER SCHOOL,All Grades,2013-01-01,161,299.0,30.4,41.0,28.6
84X394,MOTT HAVEN ACADEMY CHARTER SCHOOL,All Grades,2013-01-01,123,291.0,41.5,37.4,21.1
84K536,COMMUNITY ROOTS CHARTER SCHOOL,6,2013-01-01,52,300.0,28.8,42.3,28.8
84X394,MOTT HAVEN ACADEMY CHARTER SCHOOL,3,2013-01-01,44,295.0,27.3,52.3,20.5
84M068,KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL,All Grades,2013-01-01,100,301.0,34.0,35.0,31.0
84X389,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER,4,2013-01-01,44,300.0,22.7,56.8,20.5
84X389,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER,3,2013-01-01,43,311.0,16.3,30.2,53.5
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP C,3,2013-01-01,79,326.0,8.9,27.8,63.3
84Q321,GROWING UP GREEN CHARTER SCHOOL,3,2013-01-01,81,295.0,34.6,40.7,24.7
84X378,ICAHN CHARTER SCHOOL 2,3,2013-01-01,32,321.0,0.0,37.5,62.5
84X705,FAMILY LIFE ACADEMY CHARTER SCHOOL,3,2013-01-01,52,281.0,53.8,34.6,11.5
84Q704,MERRICK ACADEMY - QUEENS PUBLIC CHARTER SCHOOL,5,2013-01-01,73,299.0,35.6,34.2,30.1
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP C,4,2013-01-01,77,308.0,15.6,42.9,41.6
84X378,ICAHN CHARTER SCHOOL 2,4,2013-01-01,35,326.0,0.0,20.0,80.0
84Q321,GROWING UP GREEN CHARTER SCHOOL,4,2013-01-01,80,302.0,26.3,41.3,32.5
84X378,ICAHN CHARTER SCHOOL 2,5,2013-01-01,35,333.0,2.9,20.0,77.1
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP C,5,2013-01-01,50,308.0,26.0,46.0,28.0
84X378,ICAHN CHARTER SCHOOL 2,6,2013-01-01,32,332.0,0.0,28.1,71.9
84X378,ICAHN CHARTER SCHOOL 2,7,2013-01-01,29,330.0,3.4,31.0,65.5
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP C,6,2013-01-01,34,327.0,0.0,35.3,64.7
84X378,ICAHN CHARTER SCHOOL 2,All Grades,2013-01-01,163,328.0,1.2,27.0,71.8
84X704,KIPP ACADEMY CHARTER SCHOOL,All Grades,2013-01-01,343,313.0,17.5,39.1,43.4
84Q706,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,3,2013-01-01,80,316.0,10.0,37.5,52.5
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP C,7,2013-01-01,25,325.0,4.0,40.0,56.0
84X398,BRONX COMMUNITY CHARTER SCHOOL,3,2013-01-01,49,300.0,30.6,42.9,26.5
84M279,THE OPPORTUNITY CHARTER SCHOOL,6,2013-01-01,56,275.0,62.5,26.8,10.7
84X398,BRONX COMMUNITY CHARTER SCHOOL,4,2013-01-01,49,294.0,26.5,55.1,18.4
84K793,BUSHWICK ASCEND CHARTER SCHOOL,All Grades,2013-01-01,90,305.0,13.3,56.7,30.0
84K538,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,6,2013-01-01,92,319.0,7.6,39.1,53.3
84X419,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,3,2013-01-01,64,302.0,20.3,50.0,29.7
84X419,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,4,2013-01-01,63,293.0,36.5,39.7,23.8
84X419,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,5,2013-01-01,60,294.0,48.3,35.0,16.7
84K538,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,7,2013-01-01,89,321.0,7.9,43.8,48.3
84K785,IMAGINE ME LEADERSHIP CHARTER SCHOOL,All Grades,2013-01-01,47,283.0,42.6,38.3,19.1
84X419,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,6,2013-01-01,50,305.0,16.0,54.0,30.0
84Q342,ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,All Grades,2013-01-01,33,301.0,27.3,48.5,24.2
84K538,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,8,2013-01-01,76,337.0,2.6,17.1,80.3
84K782,BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,All Grades,2013-01-01,139,299.0,28.1,45.3,26.6
84K538,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,All Grades,2013-01-01,508,322.0,7.5,35.8,56.7
84Q705,RENAISSANCE CHARTER SCHOOL,7,2013-01-01,54,324.0,7.4,40.7,51.9
84X419,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,All Grades,2013-01-01,237,298.0,30.8,44.3,24.9
84K782,BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,5,2013-01-01,43,299.0,34.9,41.9,23.3
84K593,EXCELLENCE BOYS CHARTER SCHOOL,3,2013-01-01,78,315.0,12.8,33.3,53.8
84X422,ICAHN CHARTER SCHOOL 3,3,2013-01-01,34,322.0,11.8,26.5,61.8
84K785,IMAGINE ME LEADERSHIP CHARTER SCHOOL,3,2013-01-01,47,283.0,42.6,38.3,19.1
84X704,KIPP ACADEMY CHARTER SCHOOL,5,2013-01-01,67,300.0,37.3,29.9,32.8
84X407,BRONX CHARTER SCHOOL FOR CHILDREN,All Grades,2013-01-01,204,294.0,35.8,41.2,23.0
84K791,BROOKLYN DREAMS CHARTER SCHOOL,3,2013-01-01,77,317.0,11.7,32.5,55.8
84X398,BRONX COMMUNITY CHARTER SCHOOL,5,2013-01-01,49,295.0,46.9,32.7,20.4
84K793,BUSHWICK ASCEND CHARTER SCHOOL,3,2013-01-01,90,305.0,13.3,56.7,30.0
84X398,BRONX COMMUNITY CHARTER SCHOOL,All Grades,2013-01-01,147,296.0,34.7,43.5,21.8
84K792,THE CULTURAL ARTS ACADEMY AT SPRING CREEK CHARTER,All Grades,2013-01-01,65,297.0,27.7,52.3,20.0
84K536,COMMUNITY ROOTS CHARTER SCHOOL,All Grades,2013-01-01,203,310.0,23.6,29.6,46.8
84X407,BRONX CHARTER SCHOOL FOR CHILDREN,3,2013-01-01,72,288.0,44.4,34.7,20.8
84X704,KIPP ACADEMY CHARTER SCHOOL,6,2013-01-01,68,317.0,16.2,35.3,48.5
84K792,THE CULTURAL ARTS ACADEMY AT SPRING CREEK CHARTER,3,2013-01-01,65,297.0,27.7,52.3,20.0
84K538,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,3,2013-01-01,86,319.0,8.1,33.7,58.1
84K791,BROOKLYN DREAMS CHARTER SCHOOL,All Grades,2013-01-01,180,306.0,24.4,40.0,35.6
84X407,BRONX CHARTER SCHOOL FOR CHILDREN,4,2013-01-01,71,292.0,33.8,45.1,21.1
84K538,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,4,2013-01-01,78,319.0,2.6,39.7,57.7
84Q705,RENAISSANCE CHARTER SCHOOL,8,2013-01-01,54,313.0,24.1,35.2,40.7
84X407,BRONX CHARTER SCHOOL FOR CHILDREN,5,2013-01-01,61,304.0,27.9,44.3,27.9
84K791,BROOKLYN DREAMS CHARTER SCHOOL,5,2013-01-01,51,293.0,52.9,39.2,7.8
84K538,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,5,2013-01-01,87,317.0,14.9,39.1,46.0
84K791,BROOKLYN DREAMS CHARTER SCHOOL,4,2013-01-01,52,303.0,15.4,51.9,32.7
84X704,KIPP ACADEMY CHARTER SCHOOL,7,2013-01-01,63,315.0,14.3,39.7,46.0
84K782,BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,4,2013-01-01,48,291.0,35.4,45.8,18.8
84X346,SOUTH BRONX CLASSICAL CHARTER SCHOOL,All Grades,2013-01-01,139,322.0,2.2,33.1,64.7
84K508,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,All Grades,2013-01-01,328,315.0,10.7,47.3,42.1
84M336,KIPP INFINITY CHARTER SCHOOL,6,2013-01-01,88,326.0,2.3,34.1,63.6
84M336,KIPP INFINITY CHARTER SCHOOL,5,2013-01-01,88,312.0,21.6,37.5,40.9
84X309,SOUTH BRONX CHARTER SCHOOL FOR INTERNATIONAL CULTU,All Grades,2013-01-01,133,299.0,25.6,51.1,23.3
84X706,HARRIET TUBMAN CHARTER SCHOOL,3,2013-01-01,74,318.0,13.5,33.8,52.7
84K379,EXPLORE EXCEL CHARTER SCHOOL,4,2013-01-01,61,307.0,19.7,31.1,49.2
84M335,HARLEM VILLAGE ACADEMY EAST CHARTER SCHOOL,All Grades,2013-01-01,297,309.0,17.5,48.8,33.7
84X345,HYDE LEADERSHIP CHARTER SCHOOL,3,2013-01-01,78,289.0,34.6,50.0,15.4
84K379,EXPLORE EXCEL CHARTER SCHOOL,3,2013-01-01,59,301.0,25.4,39.0,35.6
84M335,HARLEM VILLAGE ACADEMY EAST CHARTER SCHOOL,8,2013-01-01,67,315.0,4.5,52.2,43.3
84M335,HARLEM VILLAGE ACADEMY EAST CHARTER SCHOOL,6,2013-01-01,77,310.0,11.7,51.9,36.4
84X345,HYDE LEADERSHIP CHARTER SCHOOL,4,2013-01-01,75,290.0,33.3,48.0,18.7
84M335,HARLEM VILLAGE ACADEMY EAST CHARTER SCHOOL,5,2013-01-01,77,299.0,32.5,48.1,19.5
84X705,FAMILY LIFE ACADEMY CHARTER SCHOOL,All Grades,2013-01-01,289,296.0,34.3,45.3,20.4
84X345,HYDE LEADERSHIP CHARTER SCHOOL,5,2013-01-01,75,277.0,73.3,21.3,5.3
84M330,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,All Grades,2013-01-01,318,307.0,23.0,41.5,35.5
84M330,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,8,2013-01-01,47,314.0,12.8,44.7,42.6
84M335,HARLEM VILLAGE ACADEMY EAST CHARTER SCHOOL,7,2013-01-01,76,311.0,19.7,43.4,36.8
84M336,KIPP INFINITY CHARTER SCHOOL,7,2013-01-01,86,307.0,22.1,48.8,29.1
84X309,SOUTH BRONX CHARTER SCHOOL FOR INTERNATIONAL CULTU,5,2013-01-01,48,291.0,50.0,35.4,14.6
84M336,KIPP INFINITY CHARTER SCHOOL,8,2013-01-01,66,322.0,10.6,31.8,57.6
84M350,DEMOCRACY PREP CHARTER SCHOOL,8,2013-01-01,109,312.0,7.3,59.6,33.0
84M350,DEMOCRACY PREP CHARTER SCHOOL,7,2013-01-01,109,307.0,31.2,35.8,33.0
84K362,HELLENIC CLASSICAL CHARTER SCHOOL,All Grades,2013-01-01,273,315.0,19.8,36.3,44.0
84Q706,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,5,2013-01-01,80,314.0,26.3,33.8,40.0
84M350,DEMOCRACY PREP CHARTER SCHOOL,6,2013-01-01,109,295.0,27.5,60.6,11.9
84M341,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER,All Grades,2013-01-01,359,307.0,20.9,44.3,34.8
84M341,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER,8,2013-01-01,32,305.0,18.8,53.1,28.1
84M341,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER,7,2013-01-01,38,309.0,23.7,50.0,26.3
84X309,SOUTH BRONX CHARTER SCHOOL FOR INTERNATIONAL CULTU,3,2013-01-01,44,301.0,13.6,65.9,20.5
84X706,HARRIET TUBMAN CHARTER SCHOOL,5,2013-01-01,68,285.0,60.3,33.8,5.9
84M341,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER,6,2013-01-01,71,304.0,22.5,46.5,31.0
84M341,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER,5,2013-01-01,63,313.0,22.2,34.9,42.9
84M341,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER,4,2013-01-01,84,291.0,32.1,47.6,20.2
84X309,SOUTH BRONX CHARTER SCHOOL FOR INTERNATIONAL CULTU,4,2013-01-01,41,304.0,9.8,53.7,36.6
84M341,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER,3,2013-01-01,71,323.0,4.2,39.4,56.3
84X706,HARRIET TUBMAN CHARTER SCHOOL,4,2013-01-01,73,313.0,13.7,34.2,52.1
84M336,KIPP INFINITY CHARTER SCHOOL,All Grades,2013-01-01,328,316.0,14.3,38.4,47.3
84K379,EXPLORE EXCEL CHARTER SCHOOL,All Grades,2013-01-01,120,304.0,22.5,35.0,42.5
84M279,THE OPPORTUNITY CHARTER SCHOOL,7,2013-01-01,68,258.0,91.2,7.4,1.5
84M330,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,7,2013-01-01,68,301.0,32.4,45.6,22.1
84X705,FAMILY LIFE ACADEMY CHARTER SCHOOL,8,2013-01-01,40,307.0,20.0,52.5,27.5
84M284,HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER S,All Grades,2013-01-01,494,301.0,29.4,42.5,28.1
84X346,SOUTH BRONX CLASSICAL CHARTER SCHOOL,5,2013-01-01,36,324.0,2.8,27.8,69.4
84M284,HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER S,8,2013-01-01,68,307.0,22.1,47.1,30.9
84K508,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,6,2013-01-01,86,314.0,8.1,44.2,47.7
84M284,HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER S,7,2013-01-01,92,300.0,38.0,43.5,18.5
84Q706,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,4,2013-01-01,80,313.0,16.3,30.0,53.8
84M284,HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER S,6,2013-01-01,82,310.0,14.6,46.3,39.0
84K508,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,5,2013-01-01,91,302.0,19.8,60.4,19.8
84K508,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,7,2013-01-01,80,312.0,12.5,60.0,27.5
84M284,HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER S,4,2013-01-01,88,290.0,37.5,45.5,17.0
84K702,COMMUNITY PARTNERSHIP CHARTER SCHOOL,4,2013-01-01,52,302.0,21.2,38.5,40.4
84X705,FAMILY LIFE ACADEMY CHARTER SCHOOL,4,2013-01-01,52,286.0,38.5,50.0,11.5
84K508,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,8,2013-01-01,71,334.0,0.0,19.7,80.3
84M284,HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER S,3,2013-01-01,94,294.0,30.9,45.7,23.4
84M279,THE OPPORTUNITY CHARTER SCHOOL,All Grades,2013-01-01,185,267.0,76.2,18.9,4.9
84M279,THE OPPORTUNITY CHARTER SCHOOL,8,2013-01-01,61,270.0,72.1,24.6,3.3
84M284,HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER S,5,2013-01-01,70,308.0,30.0,24.3,45.7
84X705,FAMILY LIFE ACADEMY CHARTER SCHOOL,5,2013-01-01,48,303.0,31.3,50.0,18.8
84X346,SOUTH BRONX CLASSICAL CHARTER SCHOOL,4,2013-01-01,44,330.0,0.0,15.9,84.1
84M320,MANHATTAN CHARTER SCHOOL,3,2013-01-01,42,306.0,14.3,52.4,33.3
84M330,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,6,2013-01-01,50,317.0,10.0,36.0,54.0
84M330,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,5,2013-01-01,52,301.0,34.6,44.2,21.2
84M330,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,4,2013-01-01,51,307.0,17.6,33.3,49.0
84X345,HYDE LEADERSHIP CHARTER SCHOOL,7,2013-01-01,75,284.0,62.7,26.7,10.7
84M330,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,3,2013-01-01,50,302.0,26.0,44.0,30.0
84M329,HARLEM LINK CHARTER SCHOOL,All Grades,2013-01-01,145,300.0,29.7,41.4,29.0
84X705,FAMILY LIFE ACADEMY CHARTER SCHOOL,7,2013-01-01,47,298.0,38.3,40.4,21.3
84M329,HARLEM LINK CHARTER SCHOOL,5,2013-01-01,40,303.0,30.0,47.5,22.5
84X345,HYDE LEADERSHIP CHARTER SCHOOL,8,2013-01-01,74,296.0,31.1,48.6,20.3
84M329,HARLEM LINK CHARTER SCHOOL,4,2013-01-01,54,311.0,14.8,33.3,51.9
84X345,HYDE LEADERSHIP CHARTER SCHOOL,All Grades,2013-01-01,454,290.0,42.5,41.9,15.6
84X705,FAMILY LIFE ACADEMY CHARTER SCHOOL,6,2013-01-01,50,305.0,20.0,46.0,34.0
84M329,HARLEM LINK CHARTER SCHOOL,3,2013-01-01,51,288.0,45.1,45.1,9.8
84M320,MANHATTAN CHARTER SCHOOL,All Grades,2013-01-01,117,306.0,24.8,39.3,35.9
84M320,MANHATTAN CHARTER SCHOOL,5,2013-01-01,38,306.0,34.2,26.3,39.5
84X346,SOUTH BRONX CLASSICAL CHARTER SCHOOL,3,2013-01-01,59,315.0,3.4,49.2,47.5
84M320,MANHATTAN CHARTER SCHOOL,4,2013-01-01,37,307.0,27.0,37.8,35.1
84X345,HYDE LEADERSHIP CHARTER SCHOOL,6,2013-01-01,77,303.0,20.8,55.8,23.4
84M350,DEMOCRACY PREP CHARTER SCHOOL,All Grades,2013-01-01,327,304.0,22.0,52.0,26.0
84X704,KIPP ACADEMY CHARTER SCHOOL,3,2013-01-01,83,306.0,16.9,47.0,36.1
84K782,BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,3,2013-01-01,48,307.0,14.6,47.9,37.5
84K731,BROOKLYN EXCELSIOR CHARTER SCHOOL,3,2013-01-01,78,301.0,28.2,39.7,32.1
84X491,ACADEMIC LEADERSHIP CHARTER SCHOOL,All Grades,2013-01-01,137,312.0,10.9,40.1,48.9
84K730,SUMMIT ACADEMY CHARTER SCHOOL,All Grades,2013-01-01,186,295.0,38.7,42.5,18.8
84K730,SUMMIT ACADEMY CHARTER SCHOOL,8,2013-01-01,72,300.0,31.9,50.0,18.1
84K730,SUMMIT ACADEMY CHARTER SCHOOL,7,2013-01-01,73,293.0,45.2,35.6,19.2
84K651,PAVE ACADEMY CHARTER SCHOOL,All Grades,2013-01-01,129,320.0,7.0,34.9,58.1
84K730,SUMMIT ACADEMY CHARTER SCHOOL,6,2013-01-01,41,292.0,39.0,41.5,19.5
84K731,BROOKLYN EXCELSIOR CHARTER SCHOOL,4,2013-01-01,80,290.0,36.3,45.0,18.8
84Q705,RENAISSANCE CHARTER SCHOOL,3,2013-01-01,23,321.0,8.7,39.1,52.2
84X493,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 1,3,2013-01-01,89,341.0,0.0,10.1,89.9
84K712,EXCELLENCE GIRLS CHARTER SCHOOL,All Grades,2013-01-01,118,326.0,3.4,28.8,67.8
84K652,BROOKLYN ASCEND CHARTER SCHOOL,4,2013-01-01,87,299.0,27.6,37.9,34.5
84K712,EXCELLENCE GIRLS CHARTER SCHOOL,4,2013-01-01,41,328.0,4.9,22.0,73.2
84K712,EXCELLENCE GIRLS CHARTER SCHOOL,3,2013-01-01,77,325.0,2.6,32.5,64.9
84K711,LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL,All Grades,2013-01-01,97,298.0,27.8,45.4,26.8
84K652,BROOKLYN ASCEND CHARTER SCHOOL,5,2013-01-01,87,301.0,37.9,39.1,23.0
84K652,BROOKLYN ASCEND CHARTER SCHOOL,3,2013-01-01,114,296.0,28.1,49.1,22.8
84K731,BROOKLYN EXCELSIOR CHARTER SCHOOL,5,2013-01-01,81,303.0,34.6,37.0,28.4
84Q704,MERRICK ACADEMY - QUEENS PUBLIC CHARTER SCHOOL,6,2013-01-01,19,295.0,36.8,42.1,21.1
84Q341,RIVERTON STREET CHARTER SCHOOL,5,2013-01-01,53,308.0,32.1,28.3,39.6
84K740,BROOKLYN SCHOLARS CHARTER SCHOOL,3,2013-01-01,74,307.0,18.9,37.8,43.2
84K737,BROWNSVILLE ASCEND CHARTER SCHOOL,All Grades,2013-01-01,183,309.0,14.2,46.4,39.3
84Q341,RIVERTON STREET CHARTER SCHOOL,4,2013-01-01,52,311.0,11.5,42.3,46.2
84X488,THE EQUALITY CHARTER SCHOOL,All Grades,2013-01-01,234,296.0,33.3,50.4,16.2
84K649,LA CIMA CHARTER SCHOOL,All Grades,2013-01-01,151,296.0,31.8,45.0,23.2
84X491,ACADEMIC LEADERSHIP CHARTER SCHOOL,3,2013-01-01,92,312.0,12.0,38.0,50.0
84K737,BROWNSVILLE ASCEND CHARTER SCHOOL,4,2013-01-01,85,309.0,10.6,48.2,41.2
84K651,PAVE ACADEMY CHARTER SCHOOL,3,2013-01-01,54,322.0,5.6,31.5,63.0
84K737,BROWNSVILLE ASCEND CHARTER SCHOOL,3,2013-01-01,98,309.0,17.3,44.9,37.8
84X491,ACADEMIC LEADERSHIP CHARTER SCHOOL,4,2013-01-01,45,312.0,8.9,44.4,46.7
84K651,PAVE ACADEMY CHARTER SCHOOL,4,2013-01-01,49,316.0,6.1,36.7,57.1
84K731,BROOKLYN EXCELSIOR CHARTER SCHOOL,All Grades,2013-01-01,491,294.0,38.5,42.2,19.3
84K731,BROOKLYN EXCELSIOR CHARTER SCHOOL,8,2013-01-01,87,292.0,37.9,54.0,8.0
84X538,ICAHN CHARTER SCHOOL 5,All Grades,2013-01-01,36,321.0,11.1,22.2,66.7
84K651,PAVE ACADEMY CHARTER SCHOOL,5,2013-01-01,26,321.0,11.5,38.5,50.0
84K731,BROOKLYN EXCELSIOR CHARTER SCHOOL,7,2013-01-01,87,286.0,59.8,27.6,12.6
84K731,BROOKLYN EXCELSIOR CHARTER SCHOOL,6,2013-01-01,78,296.0,32.1,50.0,17.9
84X493,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 1,All Grades,2013-01-01,89,341.0,0.0,10.1,89.9
84K649,LA CIMA CHARTER SCHOOL,5,2013-01-01,28,294.0,46.4,46.4,7.1
84K711,LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL,4,2013-01-01,40,293.0,27.5,52.5,20.0
84K652,BROOKLYN ASCEND CHARTER SCHOOL,6,2013-01-01,59,293.0,28.8,62.7,8.5
84K704,EXPLORE CHARTER SCHOOL,5,2013-01-01,61,318.0,6.6,52.5,41.0
84K704,EXPLORE CHARTER SCHOOL,4,2013-01-01,60,318.0,6.7,31.7,61.7
84K701,BROOKLYN CHARTER SCHOOL,4,2013-01-01,41,301.0,12.2,58.5,29.3
84K704,EXPLORE CHARTER SCHOOL,3,2013-01-01,60,323.0,5.0,30.0,65.0
84X496,ICAHN CHARTER SCHOOL 4,4,2013-01-01,37,336.0,2.7,29.7,67.6
84K701,BROOKLYN CHARTER SCHOOL,5,2013-01-01,34,317.0,11.8,38.2,50.0
84K702,COMMUNITY PARTNERSHIP CHARTER SCHOOL,All Grades,2013-01-01,271,299.0,30.6,39.1,30.3
84X496,ICAHN CHARTER SCHOOL 4,3,2013-01-01,38,312.0,7.9,39.5,52.6
84K702,COMMUNITY PARTNERSHIP CHARTER SCHOOL,8,2013-01-01,26,284.0,57.7,34.6,7.7
84K702,COMMUNITY PARTNERSHIP CHARTER SCHOOL,7,2013-01-01,41,303.0,29.3,39.0,31.7
84K701,BROOKLYN CHARTER SCHOOL,All Grades,2013-01-01,110,309.0,12.7,46.4,40.9
84X496,ICAHN CHARTER SCHOOL 4,5,2013-01-01,35,335.0,0.0,28.6,71.4
84K702,COMMUNITY PARTNERSHIP CHARTER SCHOOL,6,2013-01-01,49,296.0,32.7,46.9,20.4
84K702,COMMUNITY PARTNERSHIP CHARTER SCHOOL,5,2013-01-01,52,299.0,36.5,30.8,32.7
84K702,COMMUNITY PARTNERSHIP CHARTER SCHOOL,3,2013-01-01,51,305.0,19.6,43.1,37.3
84Q341,RIVERTON STREET CHARTER SCHOOL,All Grades,2013-01-01,183,312.0,18.0,37.7,44.3
84Q704,MERRICK ACADEMY - QUEENS PUBLIC CHARTER SCHOOL,All Grades,2013-01-01,236,300.0,26.7,41.9,31.4
84K701,BROOKLYN CHARTER SCHOOL,3,2013-01-01,35,310.0,14.3,40.0,45.7
84K704,EXPLORE CHARTER SCHOOL,6,2013-01-01,60,306.0,11.7,63.3,25.0
84K704,EXPLORE CHARTER SCHOOL,7,2013-01-01,55,314.0,21.8,34.5,43.6
84X494,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 2,3,2013-01-01,97,347.0,1.0,2.1,96.9
84K711,LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL,3,2013-01-01,57,302.0,28.1,40.4,31.6
84K710,BROWNSVILLE COLLEGIATE CHARTER SCHOOL,All Grades,2013-01-01,277,313.0,14.1,46.2,39.7
84K710,BROWNSVILLE COLLEGIATE CHARTER SCHOOL,8,2013-01-01,38,323.0,2.6,39.5,57.9
84K710,BROWNSVILLE COLLEGIATE CHARTER SCHOOL,7,2013-01-01,66,317.0,12.1,54.5,33.3
84K710,BROWNSVILLE COLLEGIATE CHARTER SCHOOL,6,2013-01-01,86,310.0,11.6,51.2,37.2
84K710,BROWNSVILLE COLLEGIATE CHARTER SCHOOL,5,2013-01-01,87,308.0,23.0,37.9,39.1
84K652,BROOKLYN ASCEND CHARTER SCHOOL,All Grades,2013-01-01,347,297.0,30.5,46.1,23.3
84K707,BROOKLYN PROSPECT CHARTER SCHOOL,All Grades,2013-01-01,310,318.0,15.2,36.5,48.4
84K707,BROOKLYN PROSPECT CHARTER SCHOOL,8,2013-01-01,104,323.0,7.7,33.7,58.7
84X538,ICAHN CHARTER SCHOOL 5,3,2013-01-01,36,321.0,11.1,22.2,66.7
