DBN,Year,Not_Meeting_Pct,Partially_Meeting_Pct,Meeting_Pct
84K037,2015-01-01,9.1,31.8,59.1
84K037,2016-01-01,3.1999999999999997,17.2,79.56666666666666
84K037,2017-01-01,7.1,26.8,66.125
84K037,2018-01-01,10.919999999999998,26.78,62.35999999999999
84K037,2019-01-01,13.016666666666666,23.816666666666663,63.199999999999996
84K125,2015-01-01,1.8,8.9,89.3
84K125,2016-01-01,0.9666666666666668,2.9333333333333336,96.10000000000001
84K125,2017-01-01,0.0,1.3,98.7
84K125,2018-01-01,0.6999999999999998,1.3666666666666665,97.93333333333334
84K125,2019-01-01,0.0,1.3666666666666665,98.63333333333333
84K129,2015-01-01,1.4,6.8,91.8
84K129,2016-01-01,0.0,5.166666666666667,94.83333333333333
84K129,2017-01-01,0.0,2.3499999999999996,97.64999999999999
84K129,2018-01-01,0.0,1.3399999999999999,98.66
84K129,2019-01-01,0.0,0.0,100.0
84K182,2015-01-01,0.0,1.3,98.7
84K182,2016-01-01,1.0666666666666667,3.766666666666667,95.16666666666667
84K182,2017-01-01,0.35,5.6000000000000005,94.05000000000001
84K182,2018-01-01,0.0,1.2666666666666666,98.73333333333333
84K182,2019-01-01,0.0,0.0,100.0
84K333,2013-01-01,12.3,49.1,38.6
84K333,2014-01-01,12.566666666666668,31.633333333333336,55.76666666666667
84K333,2015-01-01,24.15,43.725,32.15
84K333,2016-01-01,37.980000000000004,40.900000000000006,21.139999999999997
84K333,2017-01-01,39.31666666666666,37.06666666666666,23.61666666666667
84K333,2018-01-01,28.457142857142863,27.87142857142857,43.65714285714285
84K333,2019-01-01,22.457142857142856,29.5,48.05714285714286
84K355,2013-01-01,6.24,27.1,66.64
84K355,2014-01-01,5.9799999999999995,26.32,67.7
84K355,2015-01-01,16.974999999999998,28.9,54.125
84K355,2016-01-01,14.725,33.975,51.325
84K355,2017-01-01,12.950000000000001,36.9,50.15
84K355,2018-01-01,16.475,25.65,57.9
84K355,2019-01-01,9.3,24.875,65.85
84K356,2013-01-01,16.671428571428574,40.68571428571429,42.628571428571426
84K356,2014-01-01,15.257142857142856,40.02857142857143,44.7
84K356,2015-01-01,13.714285714285714,40.142857142857146,46.18571428571429
84K356,2016-01-01,7.799999999999999,30.157142857142862,62.042857142857144
84K356,2017-01-01,9.357142857142858,25.400000000000002,65.22857142857143
84K356,2018-01-01,10.942857142857141,22.25714285714286,66.8
84K356,2019-01-01,7.528571428571429,19.77142857142857,72.71428571428571
84K357,2013-01-01,34.519999999999996,48.62,16.86
84K357,2014-01-01,31.72,42.96,25.34
84K357,2015-01-01,23.860000000000003,38.339999999999996,37.800000000000004
84K357,2016-01-01,26.7,38.339999999999996,34.980000000000004
84K357,2017-01-01,21.416666666666668,34.4,44.18333333333334
84K357,2018-01-01,20.228571428571428,22.485714285714284,57.3
84K357,2019-01-01,12.828571428571427,19.685714285714287,67.4857142857143
84K358,2013-01-01,11.857142857142858,39.98571428571429,48.14285714285713
84K358,2014-01-01,10.857142857142858,31.82857142857143,57.32857142857143
84K358,2015-01-01,15.4,34.957142857142856,49.642857142857146
84K358,2016-01-01,6.3,24.400000000000002,69.34285714285714
84K358,2017-01-01,4.114285714285714,20.5,75.37142857142858
84K358,2018-01-01,2.5714285714285716,13.542857142857143,83.88571428571427
84K358,2019-01-01,2.8857142857142857,9.585714285714287,87.54285714285713
84K360,2013-01-01,55.2,40.0,4.8
84K360,2014-01-01,66.86666666666666,27.233333333333334,5.933333333333334
84K360,2015-01-01,55.400000000000006,34.0,10.600000000000001
84K360,2016-01-01,50.5,32.0,17.525000000000002
84K360,2017-01-01,50.9,33.6,15.525
84K360,2018-01-01,45.224999999999994,26.075000000000003,28.7
84K360,2019-01-01,44.175,31.250000000000004,24.6
84K362,2013-01-01,19.12857142857143,36.114285714285714,44.81428571428571
84K362,2014-01-01,8.571428571428573,34.91428571428572,56.48571428571428
84K362,2015-01-01,4.785714285714286,29.142857142857142,66.10000000000001
84K362,2016-01-01,5.171428571428572,27.87142857142857,66.97142857142858
84K362,2017-01-01,3.9428571428571426,28.7,67.35714285714286
84K362,2018-01-01,4.514285714285714,21.25714285714286,74.22857142857143
84K362,2019-01-01,3.7714285714285714,9.657142857142857,86.57142857142857
84K367,2014-01-01,0.0,2.4,97.6
84K367,2015-01-01,0.0,0.6999999999999998,99.3
84K367,2016-01-01,0.0,0.45,99.55
84K367,2017-01-01,0.54,0.26,99.2
84K367,2018-01-01,1.8166666666666664,1.3833333333333335,96.81666666666666
84K367,2019-01-01,0.4666666666666666,1.1666666666666667,98.36666666666667
84K379,2013-01-01,22.53333333333333,35.03333333333333,42.43333333333334
84K379,2014-01-01,27.725,35.525,36.725
84K379,2015-01-01,41.120000000000005,32.64,26.2
84K379,2016-01-01,34.56666666666667,28.75,36.66666666666667
84K379,2017-01-01,37.95714285714286,29.557142857142857,32.48571428571429
84K379,2018-01-01,28.5,22.97142857142857,48.528571428571425
84K379,2019-01-01,25.771428571428572,21.257142857142856,52.957142857142856
84K406,2014-01-01,26.3,45.6,28.1
84K406,2015-01-01,31.066666666666663,46.46666666666667,22.46666666666667
84K406,2016-01-01,45.35,36.425,18.25
84K406,2017-01-01,42.12,35.64,22.279999999999998
84K406,2018-01-01,31.466666666666665,31.75,36.81666666666667
84K406,2019-01-01,34.1,32.916666666666664,32.98333333333333
84K508,2013-01-01,10.219999999999999,46.32,43.480000000000004
84K508,2014-01-01,10.600000000000001,32.56666666666667,56.833333333333336
84K508,2015-01-01,12.742857142857142,36.800000000000004,50.47142857142858
